epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.804,4.53587,12.9805,4.26398,0.445,0.32787,0.27492,0.08962,4.59132,15.192,5.08972,0.0004,0.0004,0.0004
2,90.3547,4.08901,5.15068,4.00436,0.445,0.32787,0.27492,0.08962,nan,nan,nan,0.000814588,0.000814588,0.000814588
3,114.879,4.06314,4.43062,3.90984,0.445,0.32787,0.27492,0.08962,nan,nan,nan,0.00122363,0.00122363,0.00122363
4,136.084,4.32227,4.09493,4.15943,0.445,0.32787,0.27492,0.08962,nan,nan,nan,0.00162713,0.00162713,0.00162713
5,157.583,4.38471,4.42962,4.16276,0.445,0.32787,0.27492,0.08962,nan,nan,nan,0.0019472,0.0019472,0.0019472
6,181.99,4.26697,4.22897,4.17171,0.445,0.32787,0.27492,0.08962,nan,nan,nan,0.001934,0.001934,0.001934
7,209.827,4.33288,3.90546,4.1154,0.445,0.32787,0.27492,0.08962,nan,nan,nan,0.0019208,0.0019208,0.0019208
8,239.204,4.11142,3.99457,3.886,0.445,0.32787,0.27492,0.08962,nan,nan,nan,0.0019076,0.0019076,0.0019076
9,264.647,3.84819,3.51296,3.76639,0.445,0.32787,0.27492,0.08962,nan,nan,nan,0.0018944,0.0018944,0.0018944
10,288.966,3.944,3.37269,3.85081,0.445,0.32787,0.27492,0.08962,nan,nan,nan,0.0018812,0.0018812,0.0018812
11,319.13,3.79011,3.24011,3.69685,0.00208,0.09836,0.00178,0.00045,nan,nan,nan,0.001868,0.001868,0.001868
12,340.884,4.15518,3.41274,4.00147,0.79014,0.54098,0.60974,0.23608,nan,nan,nan,0.0018548,0.0018548,0.0018548
13,372.634,4.11673,3.16856,3.97497,0.43648,0.30484,0.28276,0.12076,nan,nan,nan,0.0018416,0.0018416,0.0018416
14,397.038,3.97081,2.91122,3.8831,0.666,0.70492,0.65185,0.28551,4.10006,88.284,4.80718,0.0018284,0.0018284,0.0018284
15,452.329,3.80077,2.87349,3.65806,0.79035,0.63934,0.68688,0.29763,3.82482,8.56288,3.81054,0.0018152,0.0018152,0.0018152
16,474.684,3.83624,3.04054,3.66964,0.91062,0.7541,0.83128,0.42202,3.70809,2.73127,3.72886,0.001802,0.001802,0.001802
17,511.917,3.92676,2.90948,3.74255,0.60014,0.7541,0.69694,0.36233,3.35537,2.76444,3.44068,0.0017888,0.0017888,0.0017888
18,538.605,3.85088,2.65242,3.67489,0.89914,0.73082,0.8518,0.45388,3.49803,2.50815,3.57205,0.0017756,0.0017756,0.0017756
19,576.536,3.68936,2.74149,3.64543,0.25863,0.11475,0.07981,0.02654,5.16009,8.86084,4.62423,0.0017624,0.0017624,0.0017624
20,604.215,3.788,2.64499,3.82368,0.76942,0.65574,0.77931,0.39224,3.56423,2.04574,3.79007,0.0017492,0.0017492,0.0017492
21,630.371,3.74932,2.49979,3.71898,0.78858,0.79499,0.84049,0.43417,3.4296,3.21098,3.64619,0.001736,0.001736,0.001736
22,655.716,3.90241,2.41889,3.81249,0.78611,0.5082,0.58453,0.26592,4.05777,3.52865,3.92911,0.0017228,0.0017228,0.0017228
23,677.888,3.77797,2.49453,3.57326,0.81167,0.7541,0.80881,0.41652,3.42583,2.05872,3.51111,0.0017096,0.0017096,0.0017096
24,704.868,3.71913,2.30228,3.62766,0.85009,0.85246,0.87468,0.44668,3.6296,1.8255,3.60558,0.0016964,0.0016964,0.0016964
25,733.58,3.71356,2.32773,3.65238,0.7975,0.85246,0.87435,0.45438,3.34663,1.7846,3.41756,0.0016832,0.0016832,0.0016832
26,772.053,3.54043,2.5086,3.49773,0.80156,0.81967,0.83206,0.40061,3.3848,2.09575,3.47325,0.00167,0.00167,0.00167
27,799.239,3.61475,2.29342,3.57651,0.92583,0.81852,0.89427,0.48619,3.43448,1.71754,3.56213,0.0016568,0.0016568,0.0016568
28,839.67,3.66796,2.20241,3.5693,0.86531,0.78689,0.86036,0.47459,3.45282,1.64213,3.48087,0.0016436,0.0016436,0.0016436
29,866.735,3.6933,2.23538,3.69391,0.93474,0.7044,0.86191,0.43725,3.32908,2.02008,3.55763,0.0016304,0.0016304,0.0016304
30,893.153,3.69841,2.28918,3.63512,0.86172,0.83607,0.89502,0.47609,3.3088,1.87828,3.39677,0.0016172,0.0016172,0.0016172
31,919.246,3.70742,2.35918,3.65091,0.86108,0.72131,0.85779,0.44446,3.30979,1.7829,3.3807,0.001604,0.001604,0.001604
32,947.067,3.57321,2.11993,3.49573,0.87464,0.80328,0.86821,0.47142,3.20098,1.63275,3.3996,0.0015908,0.0015908,0.0015908
33,975.11,3.64657,2.16414,3.67652,0.77198,0.88525,0.88139,0.46188,3.35295,1.71226,3.50962,0.0015776,0.0015776,0.0015776
34,1001.54,3.50887,2.11782,3.48907,0.87522,0.7541,0.85016,0.44269,3.35595,1.77451,3.55782,0.0015644,0.0015644,0.0015644
35,1028.62,3.47941,2.12859,3.4273,0.84889,0.7541,0.85148,0.42464,3.49715,2.01583,3.48911,0.0015512,0.0015512,0.0015512
36,1055.17,3.60278,2.24092,3.59604,0.90293,0.91498,0.92261,0.46495,3.49118,1.40206,3.56077,0.001538,0.001538,0.001538
37,1081.7,3.67284,2.54175,3.69949,0.85611,0.91803,0.91958,0.50544,3.19633,1.43162,3.37036,0.0015248,0.0015248,0.0015248
38,1114.11,3.60755,2.11958,3.57958,0.87375,0.78689,0.87536,0.48361,3.17484,1.72041,3.39753,0.0015116,0.0015116,0.0015116
39,1140.84,3.52173,2.09352,3.58214,0.88157,0.83607,0.90727,0.48514,3.32815,1.49884,3.47297,0.0014984,0.0014984,0.0014984
40,1167.56,3.70206,2.11386,3.63981,0.84117,0.88525,0.881,0.4821,3.31634,1.54201,3.39015,0.0014852,0.0014852,0.0014852
41,1194.13,3.5508,2.10207,3.57863,0.7887,0.77049,0.82035,0.46305,3.24738,2.00335,3.3465,0.001472,0.001472,0.001472
42,1220.96,3.60488,2.21028,3.53775,0.86105,0.85246,0.8889,0.50711,3.06269,1.51052,3.34845,0.0014588,0.0014588,0.0014588
43,1247.19,3.39071,1.93429,3.45542,0.83825,0.84964,0.87759,0.50331,3.12796,1.4517,3.36893,0.0014456,0.0014456,0.0014456
44,1274.2,3.47313,1.95045,3.4886,0.88054,0.84593,0.8693,0.50978,3.24854,1.57234,3.43758,0.0014324,0.0014324,0.0014324
45,1301.07,3.53504,2.52694,3.53744,0.87634,0.83607,0.87745,0.51018,3.17966,1.47229,3.34812,0.0014192,0.0014192,0.0014192
46,1333.05,3.39576,1.78859,3.45438,0.93059,0.87922,0.91014,0.534,3.12396,1.29008,3.3457,0.001406,0.001406,0.001406
47,1367.96,3.3691,1.81159,3.46215,0.89632,0.8504,0.9083,0.50497,3.24693,1.29711,3.46933,0.0013928,0.0013928,0.0013928
48,1395.04,3.52593,2.03727,3.53278,0.83637,0.83607,0.9048,0.50545,3.30269,1.34855,3.42297,0.0013796,0.0013796,0.0013796
49,1422.26,3.29756,1.89873,3.24863,0.89781,0.90164,0.93954,0.51924,3.24347,1.26995,3.36231,0.0013664,0.0013664,0.0013664
50,1450.46,3.56157,1.9164,3.50612,0.88388,0.90164,0.91953,0.50503,3.40398,1.26365,3.46422,0.0013532,0.0013532,0.0013532
51,1476.65,3.39164,1.86784,3.42517,0.91481,0.88029,0.91707,0.50568,3.22624,1.27214,3.40831,0.00134,0.00134,0.00134
52,1504.68,3.40788,1.85504,3.39666,0.88758,0.90609,0.94139,0.50522,3.15649,1.20952,3.37191,0.0013268,0.0013268,0.0013268
53,1532.06,3.47062,1.91497,3.4636,0.90008,0.88605,0.93142,0.53597,3.13695,1.1384,3.41847,0.0013136,0.0013136,0.0013136
54,1563.87,3.35539,1.7762,3.30429,0.9316,0.89311,0.91264,0.52649,3.11989,1.2936,3.31757,0.0013004,0.0013004,0.0013004
55,1588.07,3.32514,1.82335,3.41526,0.93017,0.86885,0.93335,0.48201,3.39004,1.36352,3.49311,0.0012872,0.0012872,0.0012872
56,1616.4,3.22416,1.79371,3.20705,0.87909,0.83607,0.89027,0.50471,3.12987,1.42258,3.38122,0.001274,0.001274,0.001274
57,1638.42,3.52446,2.16773,3.6297,0.91561,0.88934,0.93627,0.52436,3.19672,1.25125,3.39044,0.0012608,0.0012608,0.0012608
58,1665.05,3.27441,1.79042,3.29601,0.91607,0.89471,0.9355,0.5245,3.24368,1.23722,3.34943,0.0012476,0.0012476,0.0012476
59,1688.43,3.32941,1.80442,3.33816,0.91793,0.88525,0.9371,0.50177,3.17544,1.22553,3.42971,0.0012344,0.0012344,0.0012344
60,1716.83,3.2198,1.74353,3.33532,0.92012,0.81967,0.88515,0.48474,3.26885,1.52936,3.50357,0.0012212,0.0012212,0.0012212
61,1741.95,3.38798,1.78168,3.45895,0.9464,0.86841,0.93609,0.51801,3.40796,1.23749,3.56706,0.001208,0.001208,0.001208
62,1769.18,3.28704,1.77283,3.38641,0.964,0.85246,0.93996,0.53421,3.18173,1.23865,3.39953,0.0011948,0.0011948,0.0011948
63,1795.56,3.28682,1.70103,3.34211,0.9321,0.90022,0.94917,0.5444,3.21142,1.20944,3.30597,0.0011816,0.0011816,0.0011816
64,1829.08,3.32954,1.69021,3.34162,0.9469,0.88525,0.92689,0.52112,3.16556,1.30608,3.39051,0.0011684,0.0011684,0.0011684
65,1856.28,3.39399,1.97104,3.48657,0.95614,0.7377,0.84797,0.44352,3.65435,1.84679,3.66218,0.0011552,0.0011552,0.0011552
66,1882.5,3.39596,1.80607,3.35494,0.89933,0.86885,0.90749,0.49591,3.24003,1.39159,3.45273,0.001142,0.001142,0.001142
67,1908.98,3.34244,1.79769,3.43588,0.85509,0.87065,0.87587,0.4611,3.19787,1.52231,3.39816,0.0011288,0.0011288,0.0011288
68,1936.49,3.38782,2.2284,3.50561,0.93072,0.88093,0.92957,0.52073,3.18573,1.21884,3.29642,0.0011156,0.0011156,0.0011156
69,1964.75,3.1355,1.6635,3.18062,0.87621,0.92834,0.93517,0.51931,3.2269,1.20282,3.29475,0.0011024,0.0011024,0.0011024
70,1990.67,3.36218,1.78386,3.2973,0.87369,0.91803,0.93478,0.53052,3.11248,1.19899,3.24724,0.0010892,0.0010892,0.0010892
71,2018.08,3.2763,1.70815,3.35575,0.91332,0.86374,0.9288,0.5227,3.32275,1.36464,3.3411,0.001076,0.001076,0.001076
72,2042.25,3.26231,1.7195,3.31403,0.93,0.90164,0.92556,0.54887,3.06916,1.19021,3.34403,0.0010628,0.0010628,0.0010628
73,2075.38,3.28445,1.76434,3.31157,0.93659,0.88525,0.93414,0.4844,3.3369,1.37506,3.42892,0.0010496,0.0010496,0.0010496
74,2102.12,3.32679,1.94832,3.36013,0.92909,0.85246,0.90624,0.53746,3.11252,1.37035,3.34634,0.0010364,0.0010364,0.0010364
75,2128.54,3.12446,1.59887,3.17855,0.88625,0.8941,0.91029,0.50375,3.22923,1.34252,3.38294,0.0010232,0.0010232,0.0010232
76,2155.11,3.01185,2.07626,3.09687,0.95581,0.86885,0.92368,0.52309,3.13647,1.12387,3.33095,0.00101,0.00101,0.00101
77,2181.97,3.17431,1.7179,3.20551,0.94402,0.82948,0.93041,0.52661,3.19105,1.25783,3.31304,0.0009968,0.0009968,0.0009968
78,2210.58,3.20503,1.71948,3.32886,0.94285,0.81146,0.92681,0.52789,3.21573,1.20084,3.3465,0.0009836,0.0009836,0.0009836
79,2236.95,3.16919,1.65088,3.23044,0.97975,0.88525,0.95395,0.52576,3.26376,1.13827,3.40221,0.0009704,0.0009704,0.0009704
80,2264.14,3.09871,1.59836,3.22707,0.92263,0.83607,0.92937,0.52081,3.10453,1.16123,3.2966,0.0009572,0.0009572,0.0009572
81,2292,3.26798,1.65434,3.22653,0.91316,0.91803,0.93923,0.53454,3.04102,1.21008,3.27286,0.000944,0.000944,0.000944
82,2318.55,3.04356,1.63753,3.20187,0.92,0.88525,0.93742,0.52278,3.07082,1.26346,3.26838,0.0009308,0.0009308,0.0009308
83,2345.72,3.21699,1.80279,3.30053,0.92834,0.88525,0.95074,0.52974,3.1513,1.13865,3.29202,0.0009176,0.0009176,0.0009176
84,2372.56,3.09074,1.68054,3.17849,0.94839,0.80328,0.88455,0.488,3.15572,1.29367,3.401,0.0009044,0.0009044,0.0009044
85,2399.29,3.25463,1.66222,3.22193,0.9162,0.89618,0.92578,0.52787,3.1319,1.22859,3.32959,0.0008912,0.0008912,0.0008912
86,2428.07,3.08799,1.54241,3.16669,0.96285,0.84988,0.93108,0.52745,3.16945,1.33007,3.31065,0.000878,0.000878,0.000878
