                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.291,                 8.7403,                 3.2004,                0.45021,                0.59744,                0.48385,                0.23472,                 3.5303,                 3.5076,                 3.5745,             0.00023571,             0.00023571,             0.00023571
                      2,                 3.1134,                 3.8473,                 3.0172,                0.55998,                0.66487,                0.62748,                0.33074,                 3.2518,                 2.6905,                 3.5316,             0.00047059,             0.00047059,             0.00047059
                      3,                 3.0942,                 3.2764,                 3.0918,                0.68883,                0.71329,                0.68705,                0.36938,                  3.139,                  2.333,                 3.6212,             0.00070232,             0.00070232,             0.00070232
                      4,                 3.0625,                 3.0467,                 3.0649,                0.63443,                0.73891,                0.67492,                0.36131,                 3.1198,                  2.197,                 3.4905,             0.00069986,             0.00069986,             0.00069986
                      5,                 3.0713,                   2.92,                 3.0886,                0.68963,                 0.8609,                0.73071,                0.38625,                 3.2268,                 1.9068,                 3.6342,             0.00069515,             0.00069515,             0.00069515
                      6,                 3.0214,                 2.7006,                 3.0327,                0.68233,                0.92805,                0.73854,                0.38502,                 3.2385,                   1.84,                 3.8858,             0.00069044,             0.00069044,             0.00069044
                      7,                  2.974,                 2.6281,                 3.0074,                0.70483,                0.86812,                0.74913,                0.39963,                 3.2888,                 1.7765,                 3.5228,             0.00068573,             0.00068573,             0.00068573
                      8,                 2.9393,                 2.6244,                 3.0037,                0.69378,                 0.8901,                 0.7511,                0.43118,                 2.9468,                  1.683,                 3.3643,             0.00068101,             0.00068101,             0.00068101
                      9,                 2.9432,                 2.5731,                 3.0314,                0.69215,                0.88221,                0.75304,                0.42962,                 2.9873,                 1.7255,                 3.3248,              0.0006763,              0.0006763,              0.0006763
                     10,                 2.8913,                 2.5574,                 2.9859,                 0.6598,                0.89269,                0.73593,                0.40972,                 3.0711,                 1.8032,                 3.3209,             0.00067159,             0.00067159,             0.00067159
                     11,                 2.8579,                 2.4699,                 2.9639,                0.68871,                0.90859,                0.73855,                0.41024,                  2.998,                 1.7429,                 3.4297,             0.00066688,             0.00066688,             0.00066688
                     12,                 2.8744,                 2.3736,                  2.971,                0.69565,                 0.8992,                0.72695,                0.41139,                 3.0237,                 1.7541,                 3.3801,             0.00066216,             0.00066216,             0.00066216
                     13,                 2.8598,                 2.4203,                 2.9499,                0.68966,                0.90011,                  0.748,                0.41752,                 3.0005,                  1.665,                 3.3476,             0.00065745,             0.00065745,             0.00065745
                     14,                 2.8172,                 2.3809,                 2.9441,                0.67743,                0.92837,                0.75327,                0.43555,                 2.9476,                 1.6584,                 3.3231,             0.00065274,             0.00065274,             0.00065274
