epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.0818,2.64088,5.37768,3.68971,0.00047,0.0994,0.0003,7e-05,7.27455,inf,12.4134,0.000543587,0.000543587,0.000543587
2,104.934,3.02276,3.63113,3.84382,0.00115,0.025,0.00021,6e-05,nan,nan,nan,0.001092,0.001092,0.001092
3,137.376,2.98002,3.44767,3.77429,0.34967,0.0125,0.01608,0.00483,8.01278,inf,25.4107,0.00163308,0.00163308,0.00163308
4,168.291,2.85949,3.16697,3.66303,0.17313,0.28946,0.12171,0.0398,5.64503,9.03735,9.27493,0.00163399,0.00163399,0.00163399
5,199.228,2.84741,3.19859,3.63023,0.21921,0.24583,0.1289,0.05513,5.21794,10.2425,7.30348,0.00162299,0.00162299,0.00162299
6,230.042,2.72318,2.92432,3.47482,0.49653,0.48381,0.40797,0.22092,3.88463,6.06389,5.05601,0.00161199,0.00161199,0.00161199
7,261.2,2.64444,2.84366,3.4368,0.34334,0.4125,0.2974,0.15433,3.86971,6.56878,5.30639,0.00160099,0.00160099,0.00160099
8,292.473,2.59994,2.82389,3.426,0.38318,0.37677,0.29395,0.16692,3.68718,5.34931,4.89402,0.00158998,0.00158998,0.00158998
9,323.804,2.5288,2.7387,3.35755,0.45548,0.6835,0.53917,0.34051,3.15587,4.17606,4.63789,0.00157898,0.00157898,0.00157898
10,354.553,2.45509,2.56499,3.28615,0.71951,0.66071,0.72012,0.44436,3.04924,3.4464,4.29682,0.00156798,0.00156798,0.00156798
11,385.786,2.51515,2.52147,3.32179,0.57326,0.65655,0.57905,0.3287,4.02505,4.3277,5.07583,0.00155698,0.00155698,0.00155698
12,416.705,2.47575,2.56318,3.29629,0.82868,0.47699,0.63831,0.44141,2.86212,3.57321,4.02748,0.00154598,0.00154598,0.00154598
