epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.2534,1.62089,1.65806,1.39481,0.07331,0.63223,0.06133,0.02724,2.08714,inf,3.56281,0.000657277,0.000657277,0.000657277
2,124.74,1.7588,1.55014,1.48729,0.07924,0.59607,0.06361,0.02758,2.18701,22.2719,2.43763,0.00131521,0.00131521,0.00131521
3,184.188,1.84841,1.63777,1.53991,0.31078,0.28409,0.2329,0.10206,1.92087,6.00817,2.09137,0.00196433,0.00196433,0.00196433
4,246.421,1.80992,1.5974,1.5106,0.39042,0.45971,0.39852,0.19322,1.88089,3.8514,1.85047,0.0019604,0.0019604,0.0019604
5,304.732,1.75433,1.4988,1.4871,0.49716,0.38326,0.36805,0.20967,1.68357,2.93259,1.69467,0.0019472,0.0019472,0.0019472
6,365.107,1.72443,1.4774,1.47296,0.36874,0.58161,0.42575,0.2256,1.68734,2.42699,1.62844,0.001934,0.001934,0.001934
7,426.005,1.67388,1.41956,1.44113,0.53212,0.51653,0.51465,0.299,1.47604,2.0286,1.48374,0.0019208,0.0019208,0.0019208
8,489.782,1.6669,1.43005,1.46624,0.47232,0.64669,0.55862,0.30653,1.47555,2.04788,1.47173,0.0019076,0.0019076,0.0019076
9,551.44,1.60169,1.37607,1.41977,0.48034,0.7407,0.58966,0.37156,1.34382,1.78535,1.35903,0.0018944,0.0018944,0.0018944
10,614.814,1.59186,1.34396,1.42016,0.4774,0.66249,0.55003,0.33783,1.41773,2.02966,1.39345,0.0018812,0.0018812,0.0018812
11,671.892,1.59233,1.32365,1.40986,0.47126,0.70041,0.55307,0.34165,1.37438,1.63041,1.37619,0.001868,0.001868,0.001868
12,729.915,1.58018,1.28357,1.38676,0.46291,0.68905,0.52327,0.30543,1.40506,1.53488,1.42314,0.0018548,0.0018548,0.0018548
13,787.049,1.58362,1.33203,1.4,0.4723,0.66219,0.54508,0.32869,1.39392,1.66974,1.33484,0.0018416,0.0018416,0.0018416
14,844.046,1.53555,1.27521,1.38701,0.5091,0.69318,0.59313,0.37544,1.23891,1.51906,1.27885,0.0018284,0.0018284,0.0018284
15,907.722,1.55998,1.26458,1.37272,0.53225,0.69944,0.60403,0.38427,1.29156,1.39544,1.31579,0.0018152,0.0018152,0.0018152
16,970.859,1.4893,1.22847,1.35474,0.51322,0.69008,0.60022,0.38348,1.25091,1.4838,1.28054,0.001802,0.001802,0.001802
