                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 7.3759,                 19.172,                 8.0539,                0.00058,                0.16749,                0.00655,                0.00248,                 6.0706,                 21.966,                  6.742,              0.0002362,              0.0002362,              0.0002362
                      2,                 5.0604,                 7.9514,                 5.8719,                0.32465,                0.28079,                0.23699,                0.08677,                 4.6602,                 5.7804,                 5.3783,              0.0004695,              0.0004695,              0.0004695
                      3,                 4.2443,                 5.0269,                 4.7875,                0.24165,                0.38916,                0.21326,                0.09833,                 3.6862,                 4.9169,                 4.5364,              0.0006981,              0.0006981,              0.0006981
                      4,                 3.8311,                 3.8341,                  4.375,                0.56584,                0.62069,                0.60018,                 0.2525,                 3.3927,                 3.2256,                 4.1085,             0.00069279,             0.00069279,             0.00069279
                      5,                  3.628,                 3.2872,                 4.0668,                0.61728,                0.58128,                0.58698,                0.27427,                 3.3322,                 2.8368,                  3.895,             0.00068573,             0.00068573,             0.00068573
                      6,                 3.4795,                 2.9678,                 3.9285,                0.66896,                0.73399,                0.71791,                0.38384,                 3.1613,                 2.4746,                 3.7822,             0.00067866,             0.00067866,             0.00067866
                      7,                 3.3335,                 2.5968,                 3.6151,                0.70887,                0.77833,                0.77704,                0.40429,                  3.138,                 2.2177,                 3.6953,             0.00067159,             0.00067159,             0.00067159
                      8,                 3.2503,                 2.4633,                 3.5834,                0.84521,                0.71429,                0.82097,                0.43718,                 3.2416,                 2.0557,                 3.7291,             0.00066452,             0.00066452,             0.00066452
                      9,                  3.198,                 2.4145,                 3.5507,                0.80546,                0.79546,                0.84736,                0.45136,                 3.1169,                 1.9897,                  3.568,             0.00065745,             0.00065745,             0.00065745
                     10,                 3.0726,                 2.2373,                  3.401,                0.72576,                0.79803,                0.84149,                0.46706,                 2.8623,                 1.8532,                 3.3871,             0.00065038,             0.00065038,             0.00065038
                     11,                 3.0297,                  2.224,                 3.4046,                0.86935,                0.80296,                0.86937,                0.50241,                 2.8159,                 1.9178,                 3.3025,             0.00064331,             0.00064331,             0.00064331
                     12,                 3.0517,                  2.123,                 3.3351,                0.85528,                0.63547,                0.77433,                 0.4712,                 2.9071,                 2.2619,                 3.4047,             0.00063625,             0.00063625,             0.00063625
                     13,                 2.9653,                 2.0908,                 3.2756,                0.75322,                 0.7734,                0.84787,                0.51825,                 2.7619,                 1.7923,                 3.2734,             0.00062918,             0.00062918,             0.00062918
                     14,                 2.9492,                 2.0599,                 3.2672,                0.78704,                0.80105,                0.86786,                0.52716,                 2.7818,                 1.6987,                 3.2577,             0.00062211,             0.00062211,             0.00062211
                     15,                 2.7872,                 1.9118,                 3.1544,                0.74523,                0.82133,                0.86491,                0.50816,                 2.7371,                 1.7783,                 3.1868,             0.00061504,             0.00061504,             0.00061504
                     16,                 2.8318,                 1.8858,                 3.2114,                0.81087,                0.78142,                0.86227,                0.50477,                 2.7893,                 1.7739,                 3.2704,             0.00060797,             0.00060797,             0.00060797
                     17,                 2.8178,                 1.8136,                 3.1233,                0.82524,                0.86066,                0.90852,                0.55206,                 2.7559,                 1.5562,                 3.2145,              0.0006009,              0.0006009,              0.0006009
                     18,                 2.8251,                 1.7951,                 3.1122,                0.79021,                0.85714,                0.88698,                0.57201,                  2.575,                 1.6481,                 3.0725,             0.00059383,             0.00059383,             0.00059383
                     19,                 2.8307,                 1.7943,                 3.1075,                0.89142,                0.80788,                0.90435,                0.53783,                 2.9868,                 1.6383,                 3.3535,             0.00058677,             0.00058677,             0.00058677
                     20,                 2.7995,                 1.7263,                 3.0925,                0.84094,                 0.7553,                0.85513,                0.53888,                 2.6706,                 2.1486,                 3.1473,              0.0005797,              0.0005797,              0.0005797
                     21,                  2.773,                 1.7592,                 3.0844,                0.85086,                0.83251,                0.91292,                0.55926,                 2.8354,                 1.5623,                  3.241,             0.00057263,             0.00057263,             0.00057263
                     22,                 2.7635,                 1.6778,                 3.0088,                0.73036,                0.84729,                0.87384,                0.52659,                 2.8005,                 1.5855,                 3.2945,             0.00056556,             0.00056556,             0.00056556
                     23,                 2.7253,                 1.6744,                 3.0346,                 0.8358,                0.87763,                0.90745,                0.56412,                 2.8032,                 1.3895,                 3.2098,             0.00055849,             0.00055849,             0.00055849
                     24,                 2.7247,                 1.6377,                 3.0528,                0.81351,                0.81655,                0.88558,                0.54643,                 2.7667,                 1.5014,                 3.1105,             0.00055142,             0.00055142,             0.00055142
                     25,                 2.6369,                 1.6137,                 3.0083,                 0.8403,                0.82944,                 0.8867,                0.56598,                 2.7692,                 1.4539,                 3.2056,             0.00054435,             0.00054435,             0.00054435
                     26,                 2.6951,                   1.57,                 3.0174,                0.87649,                0.81281,                0.89266,                0.57048,                 2.7269,                 1.5118,                 3.1551,             0.00053728,             0.00053728,             0.00053728
                     27,                 2.6472,                 1.5426,                 2.9701,                0.85361,                0.84729,                0.91999,                0.57071,                 2.7156,                 1.3302,                 3.1648,             0.00053022,             0.00053022,             0.00053022
                     28,                  2.603,                 1.5306,                 2.9182,                0.90427,                0.83759,                0.91944,                0.57238,                  2.741,                 1.3955,                 3.1711,             0.00052315,             0.00052315,             0.00052315
                     29,                 2.6619,                 1.4965,                 2.9798,                0.86645,                0.86295,                0.92781,                0.58979,                 2.7586,                 1.4048,                 3.1978,             0.00051608,             0.00051608,             0.00051608
                     30,                 2.5466,                 1.4526,                 2.8987,                0.88676,                0.82266,                0.91557,                0.55613,                 2.7894,                 1.3905,                 3.2047,             0.00050901,             0.00050901,             0.00050901
                     31,                 2.6236,                 1.4477,                 2.9309,                0.86981,                  0.867,                0.92664,                0.54214,                  2.805,                 1.3791,                  3.221,             0.00050194,             0.00050194,             0.00050194
                     32,                 2.6148,                 1.4541,                 2.9437,                0.87233,                0.84144,                0.92289,                0.53211,                  2.886,                 1.3653,                 3.2551,             0.00049487,             0.00049487,             0.00049487
