epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.8305,2.06279,11.5844,2.77391,0.0609,0.14907,0.02823,0.01741,2.72073,15.8283,3.82743,0.000467173,0.000467173,0.000467173
2,115.47,2.62569,4.47825,3.1909,0.08969,0.02083,0.01395,0.00852,nan,nan,nan,0.000937279,0.000937279,0.000937279
3,151.432,2.83783,4.04501,3.29266,0.13082,0.04729,0.02206,0.01455,nan,nan,nan,0.0014011,0.0014011,0.0014011
4,187.856,2.68684,3.59118,3.17508,0.20671,0.24497,0.13984,0.09838,3.54547,61.6742,5.40227,0.00140071,0.00140071,0.00140071
5,224.521,2.63287,3.25346,3.19487,0.49661,0.24234,0.29765,0.16687,2.85909,6.30295,4.08379,0.00139127,0.00139127,0.00139127
6,262.178,2.6502,3.20873,3.09246,0.69134,0.43283,0.53602,0.31936,2.50684,7.0048,3.78206,0.00138184,0.00138184,0.00138184
7,299.238,2.49464,2.93436,3.04824,0.47954,0.3764,0.39209,0.24312,2.4136,4.73662,3.25287,0.00137241,0.00137241,0.00137241
8,336.111,2.50014,2.84877,3.03192,0.75517,0.50275,0.63994,0.42396,2.38949,3.91087,3.37583,0.00136298,0.00136298,0.00136298
9,373.333,2.41891,2.72725,2.96848,0.71166,0.56287,0.62187,0.41091,2.42893,3.8144,3.52435,0.00135355,0.00135355,0.00135355
10,410.235,2.32557,2.43284,2.90972,0.61607,0.59686,0.65077,0.42021,2.15832,2.58462,3.18721,0.00134412,0.00134412,0.00134412
11,446.548,2.31103,2.48998,2.89929,0.77295,0.58524,0.69689,0.4667,2.18444,2.82809,3.06469,0.00133469,0.00133469,0.00133469
12,482.887,2.24654,2.33148,2.82214,0.78155,0.57395,0.68623,0.45079,2.34332,2.43388,3.18241,0.00132525,0.00132525,0.00132525
13,519.042,2.24196,2.29828,2.83353,0.66474,0.55544,0.63014,0.4391,2.11725,2.51045,3.13066,0.00131582,0.00131582,0.00131582
14,556.116,2.20437,2.28038,2.80473,0.80046,0.66607,0.77072,0.48327,2.29284,2.31507,3.22632,0.00130639,0.00130639,0.00130639
15,593.336,2.18528,2.18464,2.80287,0.69728,0.74909,0.77523,0.49029,2.27927,2.39772,3.17197,0.00129696,0.00129696,0.00129696
16,629.779,2.18157,2.20623,2.81926,0.72922,0.60784,0.72533,0.4998,2.09451,2.02132,2.91885,0.00128753,0.00128753,0.00128753
17,666.135,2.0849,1.99059,2.69955,0.72321,0.64838,0.74721,0.49834,2.04393,2.51658,3.01842,0.0012781,0.0012781,0.0012781
18,702.3,2.18236,2.15878,2.83278,0.64182,0.65402,0.74366,0.5244,1.96461,1.90893,2.78762,0.00126867,0.00126867,0.00126867
19,738.813,2.03828,2.01088,2.68354,0.66253,0.63502,0.71262,0.49528,2.03943,2.31344,2.76067,0.00125923,0.00125923,0.00125923
20,774.761,2.01749,1.8991,2.68996,0.83607,0.71032,0.81433,0.53063,2.05327,1.76164,3.08293,0.0012498,0.0012498,0.0012498
21,811.11,2.09457,1.89666,2.77211,0.65589,0.67315,0.74278,0.51673,2.06148,1.87275,2.92827,0.00124037,0.00124037,0.00124037
22,846.872,2.00132,1.87331,2.6643,0.78109,0.73744,0.80474,0.54715,2.06679,1.63709,2.86478,0.00123094,0.00123094,0.00123094
23,884.111,2.01207,1.82771,2.68174,0.72072,0.75766,0.78368,0.54412,2.13035,1.8224,3.08961,0.00122151,0.00122151,0.00122151
24,920.363,1.96001,1.8216,2.65364,0.87891,0.64787,0.82122,0.55891,2.07741,1.7276,3.00183,0.00121208,0.00121208,0.00121208
25,957.876,1.97015,1.79453,2.63356,0.78309,0.77944,0.81384,0.55586,2.02322,1.68575,2.84959,0.00120265,0.00120265,0.00120265
26,993.812,1.87869,1.75841,2.56279,0.73559,0.68471,0.762,0.52194,1.98382,1.94963,2.83479,0.00119322,0.00119322,0.00119322
27,1029.7,1.90569,1.73934,2.62543,0.82416,0.74526,0.83304,0.57295,2.05345,1.60569,2.96892,0.00118378,0.00118378,0.00118378
28,1066.06,1.94917,1.70837,2.60855,0.74415,0.87524,0.81378,0.54464,2.06682,1.72261,2.96681,0.00117435,0.00117435,0.00117435
